keys,en,ko
MODX_DRAW_HINT,Rare meteors → samples → module draw,특수 유성 관측 → 표본 → 모듈 뽑기
METEOR_ANOMALY_RARE,RARE METEOR,특수 유성
EXT_RESEARCH_SLOT_3_NAME,Third module slot,셋째 모듈 자리
EXT_RESEARCH_SLOT_3_DESC,Module capacity 2 → 3.,모듈 장착 자리 2 → 3.
EXT_RESEARCH_SLOT_4_NAME,Fourth module slot,넷째 모듈 자리
EXT_RESEARCH_SLOT_4_DESC,Module capacity 3 → 4.,모듈 장착 자리 3 → 4.
EXT_RESEARCH_SLOT_5_NAME,Fifth module slot,다섯째 모듈 자리
EXT_RESEARCH_SLOT_5_DESC,Module capacity 4 → 5.,모듈 장착 자리 4 → 5.
EXT_RESEARCH_FOCUS_NAME,Aperture alignment,집광 조율
EXT_RESEARCH_FOCUS_DESC,Cursor observation radius +12%.,커서 관측 반경 +12%.
EXT_RESEARCH_PRECISION_NAME,Parallel exposure,병렬 노출
EXT_RESEARCH_PRECISION_DESC,Observe additional targets 20% faster with the cursor.,커서의 추가 표적 관측 속도 +20%.
EXT_RESEARCH_CYG_LOCK_NAME,Tracking continuity,추적 유지
EXT_RESEARCH_CYG_LOCK_DESC,Keep the selected target for 0.25 more seconds after it leaves the cursor circle.,표적이 관측 원을 벗어나도 0.25초 더 유지합니다.
EXT_RESEARCH_CYG_APERTURE_NAME,Wide Aperture,넓은 관측 범위
EXT_RESEARCH_CYG_APERTURE_DESC,Cursor observation radius +18%.,커서 관측 반경 +18%.
EXT_RESEARCH_WIDE_NAME,Survey cycle,훑기 주기
EXT_RESEARCH_WIDE_DESC,Sky Sweep cooldown: 0.45 → 0.315 seconds.,하늘 훑기 대기시간 0.45 → 0.315초.
EXT_RESEARCH_AQL_PAIR_NAME,Companion sweep,동반 훑기
EXT_RESEARCH_AQL_PAIR_DESC,Each successful Sky Sweep summons 1 more meteor.,하늘 훑기로 나타나는 유성 +1개.
EXT_RESEARCH_AQL_STRIDE_NAME,Long sweep,긴 훑기
EXT_RESEARCH_AQL_STRIDE_DESC,Sky Sweep needs 12% less movement.,하늘 훑기에 필요한 이동 거리 12% 감소.
EXT_RESEARCH_AQL_STREAM_NAME,Continuous survey,연속 탐색
EXT_RESEARCH_AQL_STREAM_DESC,Sky Sweep cooldown: 0.315 → about 0.22 seconds.,하늘 훑기 대기시간 0.315 → 약 0.22초.
EXT_RESEARCH_VUL_MEMORY_NAME,Rhythm memory,관측 리듬 기억
EXT_RESEARCH_VUL_MEMORY_DESC,Observation Streak lasts 1 second longer.,관측 연속 유지 시간 +1초.
EXT_RESEARCH_VUL_RHYTHM_NAME,Rhythmic analysis,리듬 분석
EXT_RESEARCH_VUL_RHYTHM_DESC,Each Observation Streak success adds another +1.5% manual speed.,관측 연속 1회당 수동 속도 +1.5% 추가.
EXT_RESEARCH_VUL_ARC_NAME,Wide Streak Tracking,넓어지는 추적
EXT_RESEARCH_VUL_ARC_DESC,Observation Streak radius bonus +40%.,관측 연속의 반경 증가량 +40%.
EXT_RESEARCH_VUL_CADENCE_NAME,Extended cadence,연속 관측 확장
EXT_RESEARCH_VUL_CADENCE_DESC,Observation Streak bonus limit: 10 → 12 successes.,관측 연속 강화 상한 10 → 12회.
EXT_RESEARCH_VUL_FLOW_NAME,Unbroken rhythm,이어지는 리듬
EXT_RESEARCH_VUL_FLOW_DESC,Observation Streak lasts 1 second longer; each success adds another +1% manual speed.,관측 연속 유지 +1초. 1회당 수동 속도 +1% 추가.
EXT_RESEARCH_DEL_SIGNAL_NAME,Echo Reception,공명 수신
EXT_RESEARCH_DEL_SIGNAL_DESC,Echo chance: 65% → 70%.,공명 확률 65% → 70%.
EXT_RESEARCH_DEL_COMPANION_NAME,Companion Echo,동반 공명
EXT_RESEARCH_DEL_COMPANION_DESC,Meteors per Echo: 6 → 7.,공명으로 나타나는 유성 6 → 7개.
EXT_RESEARCH_DEL_DEBRIS_NAME,Debris photometry,파편 측광
EXT_RESEARCH_DEL_DEBRIS_DESC,Fragment meteor and fragment-piece Data +15%.,분열 유성·파편 조각 데이터 +15%.
EXT_RESEARCH_DEL_RESONANCE_NAME,Echo Reinforcement,공명 강화
EXT_RESEARCH_DEL_RESONANCE_DESC,Echo chance: 70% → 75%.,공명 확률 70% → 75%.
EXT_RESEARCH_DEL_SCHOOL_NAME,Echo Formation,공명 대열
EXT_RESEARCH_DEL_SCHOOL_DESC,Meteors per Echo: 7 → 8.,공명으로 나타나는 유성 7 → 8개.
EXT_RESEARCH_SGE_CADENCE_NAME,Asteroid Observation,소행성 관측
EXT_RESEARCH_SGE_CADENCE_DESC,Unlocks rocky asteroids.,커다란 바위 소행성이 나타납니다.
EXT_RESEARCH_SGE_FORECAST_NAME,Asteroid Search,소행성 탐색
EXT_RESEARCH_SGE_FORECAST_DESC,Asteroid and ice asteroid spawn chance +35%.,소행성·얼음 소행성 출현 확률 +35%.
EXT_RESEARCH_SGE_SOLUTION_NAME,Ice Asteroid Observation,얼음 소행성 관측
EXT_RESEARCH_SGE_SOLUTION_DESC,Unlocks ice asteroids.,얼음 소행성이 나타납니다.
EXT_RESEARCH_SGE_WINDOW_NAME,Asteroid Tracking,소행성 추적
EXT_RESEARCH_SGE_WINDOW_DESC,Asteroid and ice asteroid observation speed +30%.,소행성·얼음 소행성 관측 속도 +30%.
EXT_RESEARCH_SGE_STREAM_NAME,Asteroid Analysis,소행성 분석
EXT_RESEARCH_SGE_STREAM_DESC,Asteroid and ice asteroid Data +50%.,소행성·얼음 소행성 데이터 +50%.
EXT_RESEARCH_EQU_FOCUS_NAME,Dish focus,접시 집속
EXT_RESEARCH_EQU_FOCUS_DESC,Dish observation speed +15%.,접시 관측 속도 +15%.
EXT_RESEARCH_EQU_MOUNT_NAME,Dish Tracking Drive,접시 추적 장치
EXT_RESEARCH_EQU_MOUNT_DESC,"Dish movement speed +20%, capture radius +10%.","접시 이동 속도 +20%, 포착 반경 +10%."
EXT_RESEARCH_EQU_ARRAY_NAME,Additional dish,추가 접시
EXT_RESEARCH_EQU_ARRAY_DESC,Adds 1 observation dish.,관측 접시 +1대.
EXT_RESEARCH_EQU_LINK_NAME,Array integration,접시 통합
EXT_RESEARCH_EQU_LINK_DESC,Dish observation speed +20%.,접시 관측 속도 +20%.
EXT_RESEARCH_TRI_PHOTOMETRY_NAME,Wide photometry,광역 측광
EXT_RESEARCH_TRI_PHOTOMETRY_DESC,All observation Data +10%.,모든 관측 데이터 +10%.
EXT_RESEARCH_TRI_ANALYSIS_NAME,Integrated analysis,통합 분석
EXT_RESEARCH_TRI_ANALYSIS_DESC,Manual observation speed +10%.,수동 관측 속도 +10%.
EXT_RESEARCH_TRI_CATALOGUE_NAME,Calibrated catalogue,보정 관측 목록
EXT_RESEARCH_TRI_CATALOGUE_DESC,All observation Data +15%.,모든 관측 데이터 +15%.
EXT_RESEARCH_CNC_PLANET_NAME,Planet Observation,행성 관측
EXT_RESEARCH_CNC_PLANET_DESC,Unlocks planets.,커다란 행성이 나타납니다.
EXT_RESEARCH_CNC_ARRIVALS_NAME,Planet Search,행성 탐색
EXT_RESEARCH_CNC_ARRIVALS_DESC,Planet spawn chance +35%.,행성 출현 확률 +35%.
EXT_RESEARCH_CNC_TRACKING_NAME,Planet Tracking,행성 추적
EXT_RESEARCH_CNC_TRACKING_DESC,Planet observation speed +30%.,행성 관측 속도 +30%.
EXT_RESEARCH_CNC_YIELD_NAME,Planet Analysis,행성 분석
EXT_RESEARCH_CNC_YIELD_DESC,Planet Data +50%.,행성 데이터 +50%.
EXT_RESEARCH_CNC_SURVEY_NAME,Planet Survey,행성 정밀 관측
EXT_RESEARCH_CNC_SURVEY_DESC,Planet spawn chance and Data +30% each.,행성 출현 확률·데이터 각각 +30%.
EXT_RESEARCH_SGR_BLACK_HOLE_NAME,Black Hole Observation,블랙홀 관측
EXT_RESEARCH_SGR_BLACK_HOLE_DESC,Unlocks black holes. Observe one to gather nearby bodies.,블랙홀이 나타납니다. 관측하면 주변 천체를 당깁니다.
EXT_RESEARCH_SGR_REACH_NAME,Gravity Reach,넓은 중력
EXT_RESEARCH_SGR_REACH_DESC,Black hole gathering radius +25%.,블랙홀이 천체를 당기는 범위 +25%.
EXT_RESEARCH_SGR_HOLD_NAME,Gravity Hold,중력 잔류
EXT_RESEARCH_SGR_HOLD_DESC,Gathered bodies remain slowed for 1 extra second.,모인 천체의 감속 시간 +1초.
EXT_RESEARCH_SGR_TRACKING_NAME,Black Hole Tracking,블랙홀 추적
EXT_RESEARCH_SGR_TRACKING_DESC,Black hole observation speed +30%.,블랙홀 관측 속도 +30%.
EXT_RESEARCH_SGR_YIELD_NAME,Black Hole Analysis,블랙홀 분석
EXT_RESEARCH_SGR_YIELD_DESC,Black hole Data +50%.,블랙홀 데이터 +50%.
EXT_RESEARCH_SGR_ARRIVALS_NAME,Black Hole Search,블랙홀 탐색
EXT_RESEARCH_SGR_ARRIVALS_DESC,Black hole spawn chance +35%.,블랙홀 출현 확률 +35%.
EXT_RESEARCH_SGR_WIDE_NAME,Wide Gravity,광역 중력
EXT_RESEARCH_SGR_WIDE_DESC,Black hole gathering radius +20%.,블랙홀이 천체를 당기는 범위 +20%.
EXT_RESEARCH_SGR_LINGER_NAME,Lasting Gravity,오래 머무는 중력
EXT_RESEARCH_SGR_LINGER_DESC,Gathered bodies remain slowed for 1 extra second.,모인 천체의 감속 시간 +1초.
EXT_RESEARCH_SCT_STELLAR_NAME,Stellar Observation,항성 관측
EXT_RESEARCH_SCT_STELLAR_DESC,"Unlocks stars. Completing one triggers a supernova that instantly observes nearby bodies, including special meteors. Excludes stars and black holes.",항성이 나타납니다. 관측 완료 시 초신성이 주변 천체·특수 유성을 즉시 관측합니다. 다른 항성·블랙홀 제외.
EXT_RESEARCH_SCT_REACH_NAME,Expanding Shockwave,충격파 확장
EXT_RESEARCH_SCT_REACH_DESC,Supernova radius: 180 → 240.,초신성 반경: 180 → 240.
EXT_RESEARCH_SCT_TRACKING_NAME,Stellar Tracking,항성 추적
EXT_RESEARCH_SCT_TRACKING_DESC,Manual and automatic star observation speed +30%.,항성 수동·자동 관측 속도 +30%.
EXT_RESEARCH_SCT_ARRIVALS_NAME,Stellar Survey,항성 탐색
EXT_RESEARCH_SCT_ARRIVALS_DESC,Star arrival chance +35%.,항성 출현 확률 +35%.
EXT_RESEARCH_SCT_SUPERNOVA_NAME,Wide Supernova,광역 초신성
EXT_RESEARCH_SCT_SUPERNOVA_DESC,Supernova radius: 240 → 300. Star data +25%.,초신성 반경: 240 → 300. 항성 데이터 +25%.
EXT_RESEARCH_PHE_WHITE_HOLE_NAME,White Hole Observation,화이트홀 관측
EXT_RESEARCH_PHE_WHITE_HOLE_DESC,Unlocks white holes. Observation releases 24 meteors along twin jets.,화이트홀이 나타납니다. 관측하면 양극 제트로 유성 24개를 방출합니다.
EXT_RESEARCH_PHE_EJECTA_NAME,Dense Outflow,밀도 높은 분출
EXT_RESEARCH_PHE_EJECTA_DESC,White hole ejecta increase from 24 to 36 meteors.,화이트홀이 방출하는 유성 24 → 36개.
EXT_RESEARCH_PHE_TRACKING_NAME,White Hole Tracking,화이트홀 추적
EXT_RESEARCH_PHE_TRACKING_DESC,White hole observation speed +50%.,화이트홀 관측 속도 +50%.
EXT_RESEARCH_PHE_ARRIVALS_NAME,White Hole Search,화이트홀 탐색
EXT_RESEARCH_PHE_ARRIVALS_DESC,White hole spawn chance +50%.,화이트홀 출현 확률 +50%.
EXT_RESEARCH_PHE_YIELD_NAME,Ejecta Analysis,분출물 분석
EXT_RESEARCH_PHE_YIELD_DESC,Data from meteors directly emitted by white holes +50%.,화이트홀이 직접 방출한 유성의 데이터 +50%.
EXT_RESEARCH_PHE_OUTFLOW_NAME,Abundant Outflow,풍부한 분출
EXT_RESEARCH_PHE_OUTFLOW_DESC,White hole ejecta increase from 36 to 48 meteors.,화이트홀이 방출하는 유성 36 → 48개.
EXT_RESEARCH_AQL_ABUNDANCE_NAME,Abundant sweep,풍부한 훑기
EXT_RESEARCH_AQL_ABUNDANCE_DESC,Each successful Sky Sweep summons 1 more meteor. Stacks with Companion sweep.,하늘 훑기로 나타나는 유성 +1개. 동반 훑기와 함께 적용됩니다.
